"","GROUP","ONTOLOGY","UP_DOWN","ONT_DESCRIPTION","Disease","EA_VALUE","GROUP_1","GROUP_2","sample","ANCESTORS","first_ancestor","first_ancestor_name"
"2927","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006260","UP","biological_process","EC",0.00259903442723022,"EC.debut","EC.6.meses","FECAL","GO:0090304, GO:1901360, GO:0008152, GO:0044238, GO:0006259, GO:0044237, GO:0006139, GO:0009987, GO:0006725, GO:0043170, GO:0046483, GO:0006807, GO:0034641, GO:0071704","GO:0008152","metabolic process"
"2928","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006261","DOWN","biological_process","EC",0,"EC.debut","EC.6.meses","FECAL","GO:0090304, GO:1901360, GO:0006260, GO:0008152, GO:0044238, GO:0006259, GO:0044237, GO:0006139, GO:0009987, GO:0006725, GO:0043170, GO:0046483, GO:0006807, GO:0034641, GO:0071704","GO:0008152","metabolic process"
"2929","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006261","UP","biological_process","EC",1.45837372033736e-08,"EC.debut","EC.6.meses","FECAL","GO:0090304, GO:1901360, GO:0006260, GO:0008152, GO:0044238, GO:0006259, GO:0044237, GO:0006139, GO:0009987, GO:0006725, GO:0043170, GO:0046483, GO:0006807, GO:0034641, GO:0071704","GO:0008152","metabolic process"
"2930","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006265","DOWN","biological_process","EC",1.50134846092313e-07,"EC.debut","EC.6.meses","FECAL","GO:0090304, GO:1901360, GO:0008152, GO:0044238, GO:0006259, GO:0006996, GO:0044237, GO:0006139, GO:0009987, GO:0043170, GO:0006725, GO:0046483, GO:0006807, GO:0051276, GO:0016043, GO:0071840, GO:0071103, GO:0034641, GO:0071704","GO:0008152","metabolic process"
"2931","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006265","UP","biological_process","EC",6.32055017555025e-09,"EC.debut","EC.6.meses","FECAL","GO:0090304, GO:1901360, GO:0008152, GO:0044238, GO:0006259, GO:0006996, GO:0044237, GO:0006139, GO:0009987, GO:0043170, GO:0006725, GO:0046483, GO:0006807, GO:0051276, GO:0016043, GO:0071840, GO:0071103, GO:0034641, GO:0071704","GO:0008152","metabolic process"
"2932","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006268","DOWN","biological_process","EC",8.11151945598939e-05,"EC.debut","EC.6.meses","FECAL","GO:0032392, GO:1901360, GO:0006260, GO:0006261, GO:0044238, GO:0044237, GO:0043170, GO:0046483, GO:0032508, GO:0034641, GO:0090304, GO:0008152, GO:0006259, GO:0006996, GO:0006139, GO:0009987, GO:0006725, GO:0006807, GO:0051276, GO:0016043, GO:0071840, GO:0071103, GO:0071704","GO:0008152","metabolic process"
"2933","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006269","DOWN","biological_process","EC",1.60669124925152e-07,"EC.debut","EC.6.meses","FECAL","GO:1901360, GO:1901362, GO:0006260, GO:0006261, GO:0009059, GO:0009058, GO:0044238, GO:0044237, GO:0043170, GO:0046483, GO:0016070, GO:0018130, GO:0034641, GO:0141187, GO:0090304, GO:0008152, GO:1901576, GO:0006259, GO:0044249, GO:0006139, GO:0009987, GO:0006725, GO:0006807, GO:0032774, GO:0034654, GO:0071704, GO:0019438","GO:0008152","metabolic process"
"2934","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006281","DOWN","biological_process","EC",0.00200434718406683,"EC.debut","EC.6.meses","FECAL","GO:0090304, GO:1901360, GO:0008152, GO:0044238, GO:0006259, GO:0006974, GO:0006139, GO:0044237, GO:0009987, GO:0006950, GO:0043170, GO:0006725, GO:0046483, GO:0006807, GO:0051716, GO:0033554, GO:0034641, GO:0071704, GO:0050896","GO:0008152","metabolic process"
"2935","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006289","DOWN","biological_process","EC",0.000860850178502213,"EC.debut","EC.6.meses","FECAL","GO:0090304, GO:0006281, GO:1901360, GO:0008152, GO:0044238, GO:0006259, GO:0006974, GO:0044237, GO:0006139, GO:0009987, GO:0006950, GO:0043170, GO:0006725, GO:0046483, GO:0006807, GO:0051716, GO:0033554, GO:0034641, GO:0071704, GO:0050896","GO:0008152","metabolic process"
"2936","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0006298","DOWN","biological_process","EC",0.000174901248420801,"EC.debut","EC.6.meses","FECAL","GO:0090304, GO:0006281, GO:1901360, GO:0008152, GO:0044238, GO:0006974, GO:0006259, GO:0044237, GO:0006139, GO:0009987, GO:0006950, GO:0043170, GO:0006725, GO:0046483, GO:0006807, GO:0051716, GO:0033554, GO:0034641, GO:0071704, GO:0050896","GO:0008152","metabolic process"
